LID,TYPE40,PD40,CL40,TYPE41,PD41,CL41,TYPE42,PD42,CL42,TYPE43,PD43,CL43,TYPE80,obscode,Dia,Ano,Start,LULC,habitat,MQCOMP1,MQCOMP2,SHDI,ELEV_MEAN,ELEV_RANGE
27D7608,0.55,2.78,0.87,0.55,2.55,0.86,0.00,NA,NA,0.00,NA,NA,0.40,11.00,165.00,2006.00,656.00,0.00,15.00,-0.70,0.17,1.40,1457.31,182.44
28A2101,0.58,3.71,0.69,0.58,5.11,0.61,0.00,NA,NA,0.00,NA,NA,0.14,11.00,174.00,2006.00,751.00,0.00,5.00,1.08,-0.33,1.62,671.76,38.48
28A2104,0.81,0.92,0.77,0.80,1.28,0.66,0.00,NA,NA,0.00,1.28,1.00,0.00,11.00,174.00,2006.00,700.00,0.00,5.00,-0.80,0.22,1.02,629.38,65.83
28A2105,0.71,6.27,0.77,0.72,5.09,0.66,0.00,NA,NA,0.00,NA,NA,0.02,11.00,174.00,2006.00,640.00,0.00,15.00,-0.63,0.03,1.22,642.39,20.87
28A2106,0.76,5.52,0.80,0.76,5.09,0.71,0.00,NA,NA,0.00,NA,NA,0.03,11.00,174.00,2006.00,739.00,0.00,5.00,-0.56,0.10,1.14,652.68,44.36
28A2204,0.62,2.92,0.87,0.60,2.54,0.83,0.02,1.27,0.65,0.01,1.27,0.71,0.16,11.00,174.00,2006.00,835.00,0.00,5.00,2.01,-0.74,1.54,692.09,108.80
28A2206,0.61,0.95,0.81,0.55,2.55,0.71,0.04,5.11,0.64,0.01,1.28,0.60,0.24,11.00,174.00,2006.00,924.00,0.00,5.00,-0.03,0.12,1.69,754.18,93.75
28A2304,0.42,5.70,0.76,0.41,12.77,0.72,0.00,NA,NA,0.00,NA,NA,0.49,11.00,174.00,2006.00,559.00,0.00,2.00,0.20,-0.09,1.42,744.89,102.85
28A2306,0.39,0.95,0.85,0.38,1.28,0.83,0.00,NA,NA,0.00,NA,NA,0.53,11.00,174.00,2006.00,548.00,0.00,1.00,-0.05,0.10,1.33,814.72,126.44
28A2308,0.47,3.67,0.79,0.46,6.36,0.75,0.00,NA,NA,0.00,1.27,0.75,0.22,11.00,174.00,2006.00,629.00,0.00,2.00,2.91,0.26,1.71,674.11,31.23
28A2412,0.44,3.78,0.76,0.42,7.63,0.73,0.00,NA,NA,0.01,3.81,0.58,0.36,19.00,165.00,2007.00,1029.00,0.00,1.00,-0.15,-0.12,1.73,807.20,53.73
28A2413,0.72,2.84,0.83,0.71,2.55,0.76,0.00,NA,NA,0.00,NA,NA,0.10,19.00,165.00,2007.00,1002.00,0.00,5.00,-0.60,0.08,1.37,840.09,74.48
28A2415,0.57,3.69,0.79,0.58,3.83,0.72,0.00,NA,NA,0.00,NA,NA,0.20,19.00,165.00,2007.00,939.00,3.00,5.00,-0.56,0.18,1.55,848.97,80.31
28A2505,0.60,1.90,0.75,0.58,2.55,0.69,0.01,1.28,1.00,0.00,NA,NA,0.18,11.00,173.00,2006.00,938.00,0.00,5.00,-0.36,-0.09,1.55,931.97,29.64
28A2602,0.62,3.60,0.84,0.57,6.39,0.81,0.05,3.83,0.74,0.00,NA,NA,0.19,11.00,173.00,2006.00,806.00,0.00,15.00,-0.21,0.18,1.60,910.14,44.61
28A3101,0.58,0.95,0.86,0.58,3.84,0.82,0.00,NA,NA,0.00,NA,NA,0.10,19.00,165.00,2007.00,523.00,0.00,4.00,4.79,2.88,1.72,691.27,171.53
28A3202,0.83,0.90,0.94,0.80,1.28,0.85,0.02,1.28,0.59,0.01,1.28,0.60,0.13,11.00,167.00,2006.00,918.00,0.00,5.00,-0.68,0.17,1.16,923.28,213.81
28A3205,0.70,4.73,0.88,0.70,7.64,0.84,0.00,NA,NA,0.00,NA,NA,0.23,11.00,167.00,2006.00,858.00,0.00,5.00,-0.53,0.02,1.21,869.12,98.40
28A3306,0.63,1.79,0.82,0.63,3.81,0.76,0.00,NA,NA,0.00,NA,NA,0.28,19.00,165.00,2007.00,758.00,0.00,5.00,-0.63,0.13,1.32,849.02,66.60
28A3307,0.47,0.95,0.85,0.40,2.55,0.76,0.07,2.55,0.84,0.00,NA,NA,0.44,19.00,165.00,2007.00,718.00,0.00,5.00,-0.25,0.26,1.71,815.37,91.47
28A3402,0.68,0.92,0.83,0.66,1.27,0.74,0.03,6.36,0.66,0.00,NA,NA,0.17,11.00,168.00,2006.00,947.00,0.00,1.00,-0.41,0.05,1.43,1094.45,110.28
28A3404,0.70,3.68,0.83,0.70,2.55,0.76,0.00,NA,NA,0.00,NA,NA,0.16,11.00,168.00,2006.00,937.00,0.00,2.00,-0.57,0.10,1.35,1087.09,50.42
28A3405,0.79,0.93,0.86,0.71,2.55,0.78,0.09,3.83,0.70,0.00,NA,NA,0.15,11.00,168.00,2006.00,847.00,0.00,5.00,-0.49,0.04,1.30,997.80,155.65
28A3408,0.87,1.95,0.92,0.84,2.54,0.86,0.02,5.09,0.65,0.00,NA,NA,0.06,11.00,168.00,2006.00,909.00,0.00,5.00,-0.49,-0.02,1.08,941.03,138.15
28A3409,0.63,4.72,0.85,0.62,7.61,0.83,0.01,1.27,0.75,0.00,NA,NA,0.31,11.00,168.00,2006.00,838.00,0.00,1.00,-0.42,-0.01,1.33,1019.85,131.43
28A3501,0.44,4.87,0.78,0.44,6.36,0.75,0.00,NA,NA,0.00,NA,NA,0.10,6.00,174.00,2004.00,610.00,0.00,5.00,7.66,8.54,1.86,892.37,49.92
28A3508,0.50,4.61,0.82,0.48,3.83,0.80,0.01,1.28,0.87,0.00,NA,NA,0.24,6.00,174.00,2004.00,643.00,0.00,12.00,3.37,-1.76,1.71,949.25,149.72
28A3601,0.34,3.89,0.70,0.34,5.09,0.66,0.00,NA,NA,0.00,NA,NA,0.43,19.00,171.00,2007.00,820.00,0.00,5.00,-0.60,0.13,1.67,1115.01,14.33
28A3605,0.62,1.85,0.85,0.47,7.65,0.65,0.15,7.65,0.70,0.00,NA,NA,0.28,19.00,171.00,2007.00,750.00,0.00,1.00,-0.45,0.10,1.60,1106.50,114.78
28A3607,0.58,0.92,0.88,0.52,2.55,0.80,0.06,3.82,0.64,0.00,NA,NA,0.38,19.00,171.00,2007.00,833.00,1.00,2.00,-0.61,0.12,1.41,1200.37,83.18
28A4103,0.78,0.92,0.86,0.65,5.09,0.72,0.09,11.44,0.49,0.04,7.63,0.45,0.08,11.00,167.00,2006.00,607.00,0.00,1.00,0.10,0.12,1.61,885.10,126.79
28A4105,0.71,1.84,0.84,0.66,1.27,0.77,0.01,1.27,0.87,0.05,3.82,0.81,0.19,11.00,167.00,2006.00,646.00,0.00,2.00,-0.55,0.12,1.44,1159.80,129.07
28A4106,0.87,0.92,0.91,0.76,3.83,0.74,0.03,5.10,0.46,0.08,6.38,0.61,0.05,11.00,167.00,2006.00,709.00,0.00,5.00,-0.47,-0.07,1.23,1080.21,208.57
28A4304,0.81,0.92,0.89,0.74,2.54,0.79,0.07,2.54,0.75,0.00,NA,NA,0.12,11.00,168.00,2006.00,815.00,0.00,5.00,-0.58,0.11,1.27,1194.89,53.52
28B2103,0.75,1.95,0.79,0.75,1.28,0.71,0.00,NA,NA,0.00,NA,NA,0.00,19.00,170.00,2007.00,836.00,0.00,5.00,-0.63,0.08,1.09,971.49,25.38
28B2107,0.43,5.54,0.67,0.44,6.39,0.61,0.00,NA,NA,0.00,NA,NA,0.00,19.00,171.00,2007.00,516.00,0.00,1.00,-0.73,0.18,1.30,967.37,18.80
28B2111,0.72,1.90,0.76,0.71,2.54,0.69,0.00,1.27,1.00,0.00,NA,NA,0.00,19.00,170.00,2007.00,847.00,0.00,5.00,-0.72,0.11,1.15,959.93,38.07
28B2113,0.54,1.84,0.77,0.54,5.09,0.71,0.00,NA,NA,0.00,NA,NA,0.19,19.00,170.00,2007.00,900.00,0.00,5.00,-0.66,0.10,1.53,966.21,18.81
28B2202,0.79,0.92,0.84,0.78,2.55,0.74,0.01,1.27,0.58,0.00,NA,NA,0.08,11.00,173.00,2006.00,531.00,0.00,5.00,-0.33,-0.03,1.22,963.45,82.88
28B2206,0.56,5.71,0.83,0.55,6.39,0.79,0.00,NA,NA,0.00,NA,NA,0.36,11.00,173.00,2006.00,611.00,0.00,5.00,-0.57,0.10,1.38,957.00,82.81
28B2208,0.65,2.83,0.84,0.65,2.54,0.81,0.01,1.27,0.60,0.00,NA,NA,0.21,11.00,173.00,2006.00,543.00,0.00,5.00,-0.54,0.02,1.39,908.67,115.15
28B2301,0.75,3.80,0.84,0.75,5.10,0.78,0.00,NA,NA,0.00,NA,NA,0.03,19.00,170.00,2007.00,800.00,0.00,15.00,-0.73,0.19,1.18,998.89,22.18
28B2303,0.51,0.94,0.82,0.51,1.27,0.78,0.00,NA,NA,0.00,NA,NA,0.39,19.00,170.00,2007.00,700.00,0.00,5.00,-0.41,0.15,1.57,1041.63,35.74
28B2308,0.59,4.48,0.76,0.60,5.09,0.70,0.00,NA,NA,0.00,NA,NA,0.20,19.00,170.00,2007.00,719.00,0.00,1.00,-0.28,0.14,1.55,991.78,17.73
28B2405,0.89,0.92,0.88,0.89,1.27,0.81,0.00,NA,NA,0.00,NA,NA,0.00,19.00,170.00,2007.00,549.00,0.00,15.00,-0.54,0.14,0.93,986.00,46.32
28B2601,0.51,1.84,0.88,0.51,3.83,0.85,0.00,NA,NA,0.00,NA,NA,0.42,6.00,175.00,2004.00,622.00,0.00,5.00,-0.59,0.14,1.37,1092.75,48.54
28B2608,0.56,1.79,0.86,0.56,2.54,0.83,0.00,NA,NA,0.00,NA,NA,0.30,6.00,175.00,2004.00,549.00,0.00,5.00,0.05,0.10,1.54,996.88,118.59
28B3102,0.74,1.86,0.89,0.70,3.84,0.81,0.03,5.11,0.50,0.00,NA,NA,0.21,19.00,171.00,2007.00,730.00,0.00,5.00,-0.59,0.12,1.20,1139.83,122.47
28B3103,0.60,4.48,0.88,0.58,10.17,0.83,0.02,1.27,0.75,0.00,NA,NA,0.25,19.00,171.00,2007.00,625.00,0.00,5.00,-0.63,0.11,1.51,1068.86,55.61
28B3203,0.63,1.84,0.92,0.38,2.54,0.74,0.25,2.54,0.84,0.00,NA,NA,0.31,22.00,188.00,2008.00,739.00,0.00,7.00,-0.70,0.17,1.65,1239.90,86.00
28B3502,0.48,2.85,0.86,0.46,3.83,0.81,0.02,1.28,0.91,0.00,NA,NA,0.40,19.00,167.00,2009.00,944.00,0.00,5.00,0.25,-0.15,1.60,1035.45,193.01
28B3508,0.74,4.59,0.92,0.73,5.08,0.88,0.00,NA,NA,0.00,NA,NA,0.16,22.00,187.00,2008.00,830.00,0.00,5.00,-0.53,0.06,1.27,1239.66,61.93
28B3510,0.56,3.76,0.86,0.56,3.81,0.82,0.00,NA,NA,0.00,NA,NA,0.33,19.00,167.00,2009.00,748.00,3.00,2.00,-0.14,-0.37,1.44,1271.12,101.96
28B4105,0.68,0.95,0.92,0.46,3.82,0.80,0.20,5.09,0.72,0.02,2.55,0.66,0.26,6.00,170.00,2004.00,725.00,0.00,5.00,-0.53,0.06,1.55,1351.02,98.11
28B4107,0.80,1.90,0.89,0.70,2.55,0.84,0.11,3.83,0.79,0.00,NA,NA,0.09,6.00,170.00,2004.00,607.00,0.00,8.00,0.41,-0.27,1.38,1285.50,181.73
28B4304,0.69,5.69,0.82,0.67,6.38,0.75,0.02,3.83,0.63,0.00,NA,NA,0.02,22.00,188.00,2008.00,845.00,0.00,5.00,-0.31,-0.25,1.35,1178.18,225.47
28B4506,0.66,2.79,0.89,0.63,3.84,0.84,0.03,1.28,0.95,0.00,NA,NA,0.27,11.00,178.00,2006.00,635.00,0.00,5.00,-0.56,0.02,1.41,1179.92,100.36
28C2101,0.74,0.97,0.90,0.74,1.27,0.87,0.00,NA,NA,0.00,NA,NA,0.20,22.00,187.00,2008.00,605.00,0.00,7.00,-0.72,0.19,1.25,1129.12,49.43
28C2205,0.51,2.76,0.90,0.51,3.82,0.88,0.01,1.27,0.80,0.00,NA,NA,0.40,11.00,172.00,2006.00,611.00,0.00,15.00,-0.63,0.14,1.49,1160.71,57.63
28C2206,0.67,2.92,0.84,0.62,5.09,0.79,0.05,6.36,0.68,0.00,1.27,0.50,0.23,11.00,172.00,2006.00,752.00,0.00,15.00,-0.64,0.11,1.50,1138.26,84.23
28C2402,0.65,1.95,0.90,0.65,2.55,0.87,0.00,NA,NA,0.00,NA,NA,0.29,11.00,172.00,2006.00,731.00,0.00,5.00,-0.50,0.10,1.25,1264.70,48.63
28C2507,0.59,2.76,0.85,0.58,3.82,0.80,0.01,1.27,1.00,0.00,NA,NA,0.25,11.00,169.00,2006.00,901.00,0.00,5.00,0.87,-0.96,1.44,1093.10,89.21
28C2613,0.67,3.00,0.87,0.66,3.82,0.82,0.01,1.27,0.43,0.00,NA,NA,0.18,19.00,162.00,2007.00,922.00,0.00,1.00,0.20,-0.44,1.44,1157.49,140.08
28C3104,0.67,1.88,0.83,0.66,8.88,0.76,0.01,2.54,0.40,0.00,NA,NA,0.12,22.00,188.00,2008.00,524.00,0.00,5.00,-0.63,0.11,1.45,1023.46,143.15
28C3105,0.61,4.73,0.85,0.60,8.91,0.79,0.01,1.27,0.66,0.00,NA,NA,0.19,22.00,188.00,2008.00,542.00,0.00,15.00,0.60,-0.25,1.58,1031.31,151.11
28C3108,0.79,0.95,0.91,0.79,1.28,0.87,0.00,NA,NA,0.00,NA,NA,0.14,19.00,167.00,2009.00,804.00,0.00,1.00,-0.66,0.10,1.14,1060.10,109.39
28C3203,0.66,3.89,0.90,0.67,3.81,0.86,0.00,NA,NA,0.00,NA,NA,0.29,22.00,186.00,2008.00,622.00,0.00,5.00,-0.67,0.17,1.28,1338.66,83.34
28C3204,0.66,2.84,0.86,0.56,5.11,0.74,0.04,5.11,0.41,0.06,3.83,0.57,0.27,22.00,186.00,2008.00,655.00,0.00,5.00,-0.45,-0.06,1.53,1318.83,165.04
28C3205,0.72,0.93,0.92,0.71,1.28,0.88,0.00,NA,NA,0.00,NA,NA,0.23,22.00,186.00,2008.00,522.00,0.00,5.00,-0.53,0.04,1.21,1292.17,83.70
28C3302,0.48,6.81,0.83,0.47,7.62,0.78,0.01,2.54,0.43,0.00,NA,NA,0.39,11.00,172.00,2006.00,909.00,0.00,5.00,0.31,-0.34,1.54,1208.56,227.51
28C3303,0.53,5.68,0.80,0.53,10.18,0.77,0.00,NA,NA,0.00,NA,NA,0.29,11.00,172.00,2006.00,951.00,0.00,5.00,-0.49,0.00,1.58,1047.03,93.08
28C3308,0.50,3.79,0.85,0.50,5.10,0.82,0.00,NA,NA,0.00,NA,NA,0.45,11.00,172.00,2006.00,844.00,0.00,5.00,-0.74,0.20,1.46,1172.69,234.71
28C3309,0.62,1.90,0.85,0.52,5.10,0.72,0.10,5.10,0.69,0.00,NA,NA,0.32,11.00,172.00,2006.00,920.00,0.00,7.00,-0.73,0.21,1.61,1096.48,143.66
28C3403,0.70,1.90,0.88,0.62,3.83,0.81,0.03,5.11,0.46,0.04,5.11,0.75,0.23,11.00,175.00,2006.00,606.00,0.00,5.00,-0.66,0.12,1.52,1310.88,102.88
28C3405,0.81,1.84,0.91,0.80,2.55,0.87,0.00,NA,NA,0.00,NA,NA,0.15,11.00,175.00,2006.00,526.00,0.00,5.00,-0.59,0.13,1.11,1421.84,41.42
28C3406,0.54,4.64,0.85,0.48,8.95,0.76,0.02,2.56,0.62,0.03,2.56,0.50,0.38,11.00,175.00,2006.00,629.00,0.00,9.00,-0.56,0.03,1.63,1239.83,106.69
28C3407,0.79,2.84,0.89,0.79,2.55,0.85,0.00,NA,NA,0.00,NA,NA,0.13,11.00,175.00,2006.00,546.00,0.00,15.00,-0.45,-0.08,1.15,1425.79,60.11
28C3602,0.79,0.95,0.85,0.78,1.28,0.79,0.00,NA,NA,0.00,NA,NA,0.07,19.00,162.00,2007.00,540.00,0.00,1.00,0.14,-0.54,1.11,1271.79,71.33
28C3603,0.56,3.67,0.89,0.55,2.54,0.85,0.01,1.27,0.71,0.00,NA,NA,0.33,19.00,162.00,2007.00,608.00,0.00,5.00,0.50,-0.32,1.56,1157.59,108.16
28C3608,0.45,2.92,0.79,0.45,3.81,0.74,0.00,NA,NA,0.00,NA,NA,0.45,19.00,162.00,2007.00,515.00,0.00,5.00,-0.36,-0.08,1.54,1252.14,156.15
28C4105,0.57,1.90,0.87,0.51,3.83,0.78,0.06,6.38,0.62,0.00,NA,NA,0.30,22.00,186.00,2008.00,932.00,0.00,5.00,0.21,-0.25,1.67,1185.89,113.04
28C4302,0.75,1.90,0.91,0.64,6.39,0.83,0.06,5.11,0.59,0.05,5.11,0.57,0.19,22.00,186.00,2008.00,757.00,0.00,5.00,-0.36,-0.06,1.45,1342.29,220.10
28C4304,0.43,5.51,0.70,0.37,11.44,0.66,0.06,3.81,0.69,0.00,NA,NA,0.29,22.00,186.00,2008.00,835.00,0.00,5.00,-0.20,0.15,1.97,1097.37,88.14
28C4306,0.77,3.69,0.86,0.74,6.39,0.76,0.02,1.28,0.54,0.00,2.55,0.25,0.18,19.00,167.00,2009.00,522.00,0.00,5.00,-0.41,-0.02,1.23,1416.46,244.87
28C4307,0.67,3.89,0.88,0.65,5.10,0.81,0.02,1.27,0.44,0.00,2.55,0.25,0.21,19.00,167.00,2009.00,536.00,0.00,1.00,-0.07,-0.27,1.43,1202.98,346.97
28C4503,0.64,2.83,0.88,0.64,6.36,0.84,0.00,NA,NA,0.00,NA,NA,0.20,11.00,175.00,2006.00,716.00,0.00,2.00,1.45,-1.00,1.33,1312.49,152.12
28C4504,0.63,0.95,0.89,0.61,1.27,0.83,0.02,2.55,0.65,0.00,NA,NA,0.26,11.00,175.00,2006.00,747.00,0.00,5.00,-0.54,0.10,1.54,1216.32,405.51
28C4506,0.84,0.95,0.92,0.84,1.27,0.87,0.00,NA,NA,0.00,NA,NA,0.10,11.00,175.00,2006.00,645.00,0.00,5.00,-0.32,-0.06,1.04,1358.40,74.46
28D2102,0.31,6.81,0.86,0.31,7.65,0.83,0.00,NA,NA,0.00,NA,NA,0.59,11.00,169.00,2006.00,809.00,0.00,5.00,-0.12,0.08,1.60,1168.92,54.65
28D2209,0.43,2.77,0.86,0.43,3.83,0.83,0.00,NA,NA,0.00,NA,NA,0.49,11.00,170.00,2006.00,717.00,0.00,9.00,-0.73,0.16,1.55,1104.72,58.58
28D2405,0.55,0.92,0.90,0.52,1.27,0.82,0.03,1.27,0.83,0.01,2.54,0.58,0.39,22.00,184.00,2008.00,729.00,0.00,7.00,-0.62,0.28,1.54,1194.09,67.99
28D2510,0.70,3.58,0.85,0.69,3.81,0.79,0.00,NA,NA,0.00,NA,NA,0.04,6.00,180.00,2004.00,902.00,0.00,5.00,1.36,-0.64,1.41,1069.46,118.94
28D2604,0.77,2.85,0.93,0.78,5.09,0.88,0.00,1.27,1.00,0.00,NA,NA,0.16,12.00,181.00,2007.00,624.00,0.00,5.00,-0.53,0.09,1.13,1270.59,123.32
28D2606,0.71,1.84,0.91,0.72,1.27,0.86,0.00,NA,NA,0.00,NA,NA,0.24,12.00,181.00,2007.00,610.00,0.00,15.00,-0.68,0.18,1.17,1273.03,94.97
28D2608,0.59,2.92,0.88,0.55,3.82,0.81,0.02,2.55,0.57,0.02,3.82,0.29,0.33,12.00,181.00,2007.00,556.00,0.00,2.00,-0.52,0.23,1.61,1311.80,59.13
28D2609,0.81,1.90,0.91,0.81,3.83,0.86,0.00,NA,NA,0.00,1.28,1.00,0.12,12.00,181.00,2007.00,659.00,0.00,5.00,-0.50,0.00,1.11,1264.28,73.60
28D3104,0.81,3.80,0.92,0.78,2.54,0.86,0.00,NA,NA,0.03,2.54,0.70,0.12,19.00,162.00,2007.00,825.00,0.00,1.00,-0.50,0.07,1.22,1258.05,53.24
28D3105,0.75,2.84,0.86,0.75,5.09,0.81,0.00,NA,NA,0.00,NA,NA,0.10,19.00,162.00,2007.00,733.00,0.00,1.00,0.14,-0.31,1.33,1105.65,45.93
28D3106,0.63,2.92,0.79,0.61,3.82,0.75,0.01,1.27,0.72,0.00,NA,NA,0.14,19.00,162.00,2007.00,743.00,0.00,1.00,0.83,-0.40,1.60,1101.48,57.43
